"name","code","close_method","id","report_type"
"Aktiva","aktiva","balance","account_type_aktiva","asset"
"Financijski","fin","balance","account_type_financ","/"
"Aktiva kapital","kapital","balance","account_type_kapital","asset"
"Partner","partner","balance","account_type_partner","/"
"Pasiva","pasiva","unreconciled","account_type_pasiva","liability"
"Porez","porez","unreconciled","account_type_porez","/"
"Potraživanja","potrazivanja","unreconciled","account_type_potrazivanja","asset"
"Prihodi","prihod","none","account_type_prihod","income"
"Rashodi","rashod","none","account_type_rashod","expense"
"Sintetika","view","none","account_type_view","/"
"Zalihe","zalihe","balance","hr_account_type_zalihe","asset"
"Ostalo","other","none","account_type_other","/"
